JDBC Connection [HikariProxyConnection@1345069688 wrapping org.postgresql.jdbc.PgConnection@21f7e537] will be managed by Spring
==>  Preparing: INSERT INTO staff ( name, age, gender, number, supply_center, mobile_number, type ) VALUES ( ?, ?, ?, ?, ?, ?, ? ) 
==> Parameters: Kong Yibo(String), 47(Long), Female(String), 11311024(String), America(String), 15038403217(String), Director(String)
==> Parameters: Europe(String), ElectricKettleR3(String)
<==    Columns: difference
<==        Row: 345
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12110429(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000302(String), Fortis(String), ElectricKettleR3(String), 1(Long), 12210428(String), 2022-03-02(Date), 2022-03-07(Date), 2022-03-07(Date), 12110429(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: ElectricKettleR3(String)
<==    Columns: unit_price
<==        Row: 350
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 350(Long), Europe(String), ElectricKettleR3(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000302(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select name from staff where number = ? 
==> Parameters: 12210428(String)
<==    Columns: name
<==        Row: Auberon Smith
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: INSERT INTO contract ( contract_number, contract_manager_name, enterprise, supply_center, ordernum ) VALUES ( ?, ?, ?, ?, ? ) 
==> Parameters: CSE0000302(String), Auberon Smith(String), Fortis(String), Europe(String), 1(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Fortis(String)
<==    Columns: supply_center
<==        Row: Europe
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Europe(String), CasetteLibraryI1(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Europe(String), CasetteLibraryI1(String)
<==    Columns: difference
<==        Row: 727
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11112116(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000302(String), Fortis(String), CasetteLibraryI1(String), 1(Long), 12210428(String), 2022-03-02(Date), 2022-03-07(Date), 2022-03-07(Date), 11112116(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: CasetteLibraryI1(String)
<==    Columns: unit_price
<==        Row: 460
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 460(Long), Europe(String), CasetteLibraryI1(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000302(String)
<==    Columns: contract_number
<==        Row: CSE0000302
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update contract set ordernum = ordernum + 1 where contract_number = ? 
==> Parameters: CSE0000302(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Fortis(String)
<==    Columns: supply_center
<==        Row: Europe
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Europe(String), Tripod50(String)
<==    Columns: num
<==        Row: 0
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Intel(String)
<==    Columns: supply_center
<==        Row: America
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), Scanner21(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), Scanner21(String)
<==    Columns: difference
<==        Row: 70
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12210120(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000303(String), Intel(String), Scanner21(String), 1(Long), 11310908(String), 2022-03-03(Date), 2022-03-08(Date), 2022-03-08(Date), 12210120(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: Scanner21(String)
<==    Columns: unit_price
<==        Row: 460
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 460(Long), America(String), Scanner21(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000303(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select name from staff where number = ? 
==> Parameters: 11310908(String)
<==    Columns: name
<==        Row: Yan Rongchun
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: INSERT INTO contract ( contract_number, contract_manager_name, enterprise, supply_center, ordernum ) VALUES ( ?, ?, ?, ?, ? ) 
==> Parameters: CSE0000303(String), Yan Rongchun(String), Intel(String), America(String), 1(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Intel(String)
<==    Columns: supply_center
<==        Row: America
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), VideoCaptureCard60(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), VideoCaptureCard60(String)
<==    Columns: difference
<==        Row: 783
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11211510(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000303(String), Intel(String), VideoCaptureCard60(String), 1(Long), 11310908(String), 2022-03-03(Date), 2022-03-08(Date), 2022-03-08(Date), 11211510(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: VideoCaptureCard60(String)
<==    Columns: unit_price
<==        Row: 710
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 710(Long), America(String), VideoCaptureCard60(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000303(String)
<==    Columns: contract_number
<==        Row: CSE0000303
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update contract set ordernum = ordernum + 1 where contract_number = ? 
==> Parameters: CSE0000303(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Intel(String)
<==    Columns: supply_center
<==        Row: America
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), InternetBehaviorManagement96(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), InternetBehaviorManagement96(String)
<==    Columns: difference
<==        Row: 44
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11910524(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000303(String), Intel(String), InternetBehaviorManagement96(String), 1(Long), 11310908(String), 2022-03-03(Date), 2022-03-08(Date), 2022-03-08(Date), 11910524(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: InternetBehaviorManagement96(String)
<==    Columns: unit_price
<==        Row: 950
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 950(Long), America(String), InternetBehaviorManagement96(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000303(String)
<==    Columns: contract_number
<==        Row: CSE0000303
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update contract set ordernum = ordernum + 1 where contract_number = ? 
==> Parameters: CSE0000303(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Intel(String)
<==    Columns: supply_center
<==        Row: America
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), LensD7(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), LensD7(String)
<==    Columns: difference
<==        Row: 108
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11811911(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000303(String), Intel(String), LensD7(String), 1(Long), 11310908(String), 2022-03-03(Date), 2022-03-08(Date), 2022-03-08(Date), 11811911(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: LensD7(String)
<==    Columns: unit_price
<==        Row: 450
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 450(Long), America(String), LensD7(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000303(String)
<==    Columns: contract_number
<==        Row: CSE0000303
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update contract set ordernum = ordernum + 1 where contract_number = ? 
==> Parameters: CSE0000303(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Intel(String)
<==    Columns: supply_center
<==        Row: America
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), DvrE9(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), DvrE9(String)
<==    Columns: difference
<==        Row: 574
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11912919(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000303(String), Intel(String), DvrE9(String), 1(Long), 11310908(String), 2022-03-03(Date), 2022-03-08(Date), 2022-03-08(Date), 11912919(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: DvrE9(String)
<==    Columns: unit_price
<==        Row: 100
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 100(Long), America(String), DvrE9(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000303(String)
<==    Columns: contract_number
<==        Row: CSE0000303
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update contract set ordernum = ordernum + 1 where contract_number = ? 
==> Parameters: CSE0000303(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Hang Seng Bank Limited(String)
<==    Columns: supply_center
<==        Row: Hong Kong, Macao and Taiwan regions of China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Hong Kong, Macao and Taiwan regions of China(String), LightningProtectionProducts26(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Hong Kong, Macao and Taiwan regions of China(String), LightningProtectionProducts26(String)
<==    Columns: difference
<==        Row: 587
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11612410(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000304(String), Hang Seng Bank Limited(String), LightningProtectionProducts26(String), 1(Long), 12212927(String), 2022-03-04(Date), 2022-03-09(Date), 2022-03-09(Date), 11612410(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: LightningProtectionProducts26(String)
<==    Columns: unit_price
<==        Row: 30
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 30(Long), Hong Kong, Macao and Taiwan regions of China(String), LightningProtectionProducts26(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000304(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select name from staff where number = ? 
==> Parameters: 12212927(String)
<==    Columns: name
<==        Row: Jing Yingtian
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
